"gene_symbol","P1_deduped.bam","P2_deduped.bam","P3_deduped.bam","P4_deduped.bam","P5_deduped.bam","P6_deduped.bam","P7_deduped.bam","P8_deduped.bam","P9_deduped.bam","P10_deduped.bam","P11_deduped.bam","P12_deduped.bam","P13_deduped.bam","P14_deduped.bam","P15_deduped.bam","P16_deduped.bam","P17_deduped.bam","P19_deduped.bam","P20_deduped.bam","P21_deduped.bam","P22_deduped.bam","P23_deduped.bam","P24_deduped.bam","P25_deduped.bam","P26_deduped.bam","P27_deduped.bam","P28_deduped.bam","P29_deduped.bam","P30_deduped.bam","P31_deduped.bam","P32_deduped.bam","P33_deduped.bam"
"A1BG",1071,0,1,0,2,0,0,6,0,1,0,882,0,1,0,30,4,0,0,1,0,0,1,1,2,0,0,0,0,0,0,1
"A1CF",302,0,4,21,11,1,0,0,0,0,0,410,0,0,50,12,0,0,104,12,0,0,0,1,0,0,0,0,0,0,15,0
"A2M",5675,25,38,192,281,2431,145,35,0,0,0,4084,40,0,357,228,0,3,659,322,110,0,0,0,0,31,0,1,4,0,80,24
"A3GALT2",0,0,0,0,2,1,0,0,24,7,1,0,0,3,0,1,3,0,0,0,0,0,0,15,1,1,1,0,0,4,0,0
"A4GALT",2,71,66,31,121,86,17,26,0,0,1,2,103,0,86,360,0,26,117,116,43,0,0,0,0,47,0,2,21,0,34,22
"A4GNT",0,0,3,42,2,0,0,0,0,0,0,0,0,0,89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AAAS",6,33,27,15,6,16,5,13,0,3,0,5,25,0,42,17,2,3,22,34,8,0,1,0,0,4,1,0,9,0,8,4
"AACS",40,64,26,54,37,38,14,102,0,0,0,121,112,0,133,65,1,23,53,146,17,0,0,0,0,8,0,4,81,0,45,14
"AADAT",0,0,0,0,0,0,0,0,8,4,1,0,0,0,0,0,9,1,191,100,0,1,0,0,0,0,2,0,1,2,14,0
"AAED1",11,76,11,8,42,14,29,32,1,0,0,17,59,0,41,95,1,16,43,42,6,0,0,0,0,26,0,13,6,0,21,6
